coffee_name,total_score,roaster_location,coffee_origin,roast_level,est._price,agtron_ground,agtron_roast,price_per_ounce,origin_country
Colombia Finca Campo Hermosa,94.0,"Cleveland, Tennessee","Quindio Department, Colombia",Light,$29.99/8 ounces,62.0,82.0,29.99,Colombia
Colombia Finca La Sirena Mango Co-Ferment,94.0,"Cleveland, Tennessee","Quindio Department, Colombia",Light,$22.99/8 ounces,63.0,87.0,22.99,Colombia
In Bloom,94.0,"Jersey City, New Jersey",Colombia; Ethiopia,Light,$25.00/250 grams,64.0,88.0,0.8818342151675485,Ethiopia
Ethiopia Washed Kaffa Gimbo Lot Rich Espresso,96.0,"Chia-Yi, Taiwan","Gimbo, Kaffa Province, Ethiopia",Medium Light,NT $250/8 ounces,55.0,77.0,250.0,Ethiopia
Ethiopia Natural Gute Bona,95.0,"Chia-Yi, Taiwan","Sidamo growing region, southern Ethiopia",Medium Light,NT $400/8 ounces,62.0,78.0,400.0,Ethiopia
White Geisha Blend Espresso,95.0,"Taichung, Taiwan",Panama; Ethiopia,Medium Light,$39.00/8 ounces,60.0,78.0,39.0,Ethiopia
Yunlin Natural Geisha CPAG-1,95.0,"Yunlin, Taiwan","Yunlin, Taiwan",Medium Light,NT $800/4 ounces,60.0,78.0,800.0,Taiwan
Colombia Natural Huila Eulises Guzman,94.0,"Chia-Yi, Taiwan","Huila Department, Colombia",Medium Light,NT $350/8 ounces,60.0,80.0,350.0,Colombia
Peru Washed Cusco Buena Vista Soola SL09,94.0,"Chia-Yi, Taiwan","Cusco, Peru",Medium Light,NT $300/4 ounces,58.0,77.0,300.0,Peru
Yunlin Natural Geisha,94.0,"Yunlin, Taiwan","Yunlin, Taiwan",Light,NT $600/4 ounces,60.0,84.0,600.0,Taiwan
Hechi,94.0,"Taipei, Taiwan","Sidamo growing region, southern Ethiopia",Light,NT $330/8 ounces,60.0,86.0,330.0,Ethiopia
Las Margaritas Sudan Rume,95.0,"Madison, Wisconsin","Caicendonia, Valle Del Cauca, Cauca Department, Colombia",Light,$27.00/8 ounces,60.0,84.0,27.0,Colombia
Wilton Benitez Geisha,95.0,"Madison, Wisconsin","Piendamo, Cauca Department, Colombia",Light,$26.00/8 ounces,62.0,84.0,26.0,Colombia
Itumpi Tanzania,94.0,"Madison, Wisconsin","Mbozi District, Songwe Region, Tanzania",Medium Light,$22.00/12 ounces,59.0,81.0,22.0,Tanzania
Ethiopia Yirgacheffe G1 Gotiti Angel Station Geisha Washed,94.0,"Yilan, Taiwan","Gedeb District, Gedeo Zone, southern Ethiopia",Light,NT $550/200 grams,62.0,82.0,19.400352733686066,Ethiopia
Ethiopia Guji Hambela Buku Abel Bastet Geisha Washed,94.0,"Yilan, Taiwan","Guji Zone, Oromia Region, Southern Ethiopia",Light,NT $550/200 grams,63.0,85.0,19.400352733686066,Ethiopia
Finca Cruz Loma Ecuador Geisha,96.0,"Madison, Wisconsin","San José de Minas, Pichincha Province, Ecuador",Medium Light,$32.00/8 ounces,60.0,77.0,32.0,Ecuador
Costa Rica Finca El Cañal,95.0,"Charlotte, North Carolina","Alajuela, Central Valley, Costa Rica",Light,$30.00/12 ounces,60.0,88.0,30.0,Rica
