Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,cogs,Tax 5%,selling price,profit,Date,Time,Payment,Rating
750-67-8428,A,Trichy,Member,Female,Health and beauty,74.69,7,522.83,26.1415,596.97,48.00,5/1/2019,13:08,Ewallet,9.1
226-31-3081,C,Chennai,Normal,Female,Electronic accessories,15.28,5,76.4,3.82,109.22,29.00,8/3/2019,10:29,Cash,9.6
631-41-3108,A,Trichy,Normal,Male,Home and lifestyle,46.33,7,324.31,16.2155,385.53,45.00,3/3/2019,13:23,Credit card,7.4
123-19-1176,A,Trichy,Member,Male,Health and beauty,58.22,8,465.76,23.288,504.05,15.00,1/27/2019,20:33,Ewallet,8.4
373-73-7910,A,Trichy,Normal,Male,Sports and travel,86.31,7,604.17,30.2085,646.38,12.00,8/2/2019,10:37,Ewallet,5.3
699-14-3026,C,Chennai,Normal,Male,Electronic accessories,85.39,7,597.73,29.8865,662.62,35.00,3/25/2019,18:30,Ewallet,4.1
355-53-5943,A,Trichy,Member,Female,Electronic accessories,68.84,6,413.04,20.652,466.69,33.00,2/25/2019,14:36,Ewallet,5.8
315-22-5665,C,Chennai,Normal,Female,Home and lifestyle,73.56,10,735.6,36.78,819.38,47.00,2/24/2019,11:38,Ewallet,8
665-32-9167,A,Trichy,Member,Female,Health and beauty,36.26,2,72.52,3.626,86.15,10.00,10/1/2019,17:15,Credit card,7.2
692-92-5582,B,karur,Member,Female,Food and beverages,54.84,3,164.52,8.226,211.75,39.00,2/20/2019,13:27,Credit card,5.9
351-62-0822,B,karur,Member,Female,Fashion accessories,14.48,4,57.92,2.896,83.82,23.00,6/2/2019,18:07,Ewallet,4.5
529-56-3974,B,karur,Member,Male,Electronic accessories,25.51,4,102.04,5.102,147.14,40.00,9/3/2019,17:03,Cash,6.8
365-64-0515,A,Trichy,Normal,Female,Electronic accessories,46.95,5,234.75,11.7375,259.49,13.00,12/2/2019,10:25,Ewallet,7.1
252-56-2699,A,Trichy,Normal,Male,Food and beverages,43.19,10,431.9,21.595,477.50,24.00,7/2/2019,16:48,Ewallet,8.2
829-34-3910,A,Trichy,Normal,Female,Health and beauty,71.38,10,713.8,35.69,799.49,50.00,3/29/2019,19:21,Cash,5.7
299-46-1805,B,karur,Member,Female,Sports and travel,93.72,6,562.32,28.116,633.44,43.00,1/15/2019,16:19,Cash,4.5
656-95-9349,A,Trichy,Member,Female,Health and beauty,68.93,7,482.51,24.1255,552.64,46.00,11/3/2019,11:03,Credit card,4.6
765-26-6951,A,Trichy,Normal,Male,Sports and travel,72.61,6,435.66,21.783,501.44,44.00,1/1/2019,10:39,Credit card,6.9
329-62-1586,A,Trichy,Normal,Male,Food and beverages,54.67,3,164.01,8.2005,194.21,22.00,1/21/2019,18:00,Credit card,8.6
319-50-3348,B,karur,Normal,Female,Home and lifestyle,40.3,2,80.6,4.03,133.63,49.00,11/3/2019,15:30,Ewallet,4.4
300-71-4605,C,Chennai,Member,Male,Electronic accessories,86.04,5,430.2,21.51,468.71,17.00,2/25/2019,11:24,Ewallet,4.8
371-85-5789,B,karur,Normal,Male,Health and beauty,87.98,3,263.94,13.197,303.14,26.00,5/3/2019,10:40,Ewallet,5.1
273-16-6619,B,karur,Normal,Male,Home and lifestyle,33.2,2,66.4,3.32,91.72,22.00,3/15/2019,12:20,Credit card,4.4
636-48-8204,A,Trichy,Normal,Male,Electronic accessories,34.56,5,172.8,8.64,219.44,38.00,2/17/2019,11:15,Ewallet,9.9
549-59-1358,A,Trichy,Member,Male,Sports and travel,88.63,3,265.89,13.2945,290.18,11.00,2/3/2019,17:36,Ewallet,6
227-03-5010,A,Trichy,Member,Female,Home and lifestyle,52.59,8,420.72,21.036,452.76,11.00,3/22/2019,19:20,Credit card,8.5
649-29-6775,B,karur,Normal,Male,Fashion accessories,33.52,1,33.52,1.676,64.20,29.00,8/2/2019,15:31,Cash,6.7
189-17-4241,A,Trichy,Normal,Female,Fashion accessories,87.67,2,175.34,8.767,218.11,34.00,10/3/2019,12:17,Credit card,7.7
145-94-9061,B,karur,Normal,Female,Food and beverages,88.36,5,441.8,22.09,493.89,30.00,1/25/2019,19:48,Cash,9.6
848-62-7243,A,Trichy,Normal,Male,Health and beauty,24.89,9,224.01,11.2005,266.21,31.00,3/15/2019,15:36,Cash,7.4
871-79-8483,B,karur,Normal,Male,Fashion accessories,94.13,5,470.65,23.5325,516.18,22.00,2/25/2019,19:39,Credit card,4.8
149-71-6266,B,karur,Member,Male,Sports and travel,78.07,9,702.63,35.1315,754.76,17.00,1/28/2019,12:43,Cash,4.5
640-49-2076,B,karur,Normal,Male,Sports and travel,83.78,8,670.24,33.512,743.75,40.00,10/1/2019,14:49,Cash,5.1
595-11-5460,A,Trichy,Normal,Male,Health and beauty,96.58,2,193.16,9.658,242.82,40.00,3/15/2019,10:12,Credit card,5.1
183-56-6882,C,Chennai,Member,Female,Food and beverages,99.42,4,397.68,19.884,444.56,27.00,6/2/2019,10:42,Ewallet,7.5
232-16-2483,C,Chennai,Member,Female,Sports and travel,68.12,1,68.12,3.406,115.53,44.00,7/1/2019,12:28,Ewallet,6.8
129-29-8530,A,Trichy,Member,Male,Sports and travel,62.62,5,313.1,15.655,353.76,25.00,10/3/2019,19:15,Ewallet,7
