Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,cogs,Date,Time,Payment,Rating
101-17-6199,R,Trichy,Normal,Male,Food and beverages,45.79,7,16.0265,336.5565,320.53,3/13/2019,19:44,Credit card,7.0
101-81-4070,C,Chennai,Member,Female,Health and beauty,62.82,2,6.282,131.922,125.64,1/17/2019,12:36,Ewallet,4.9
102-06-2002,C,Chennai,Member,Male,Sports and travel,25.25,5,6.3125,132.5625,126.25,3/20/2019,17:52,Cash,6.1
102-77-2261,C,Chennai,Member,Male,Health and beauty,65.31,7,22.8585,480.0285,457.17,3/5/2019,18:02,Credit card,4.2
105-10-6182,A,Trichy,Member,Male,Fashion accessories,21.48,2,2.148,45.108,42.96,2/27/2019,12:22,Ewallet,6.6
105-31-1824,A,Trichy,Member,Male,Sports and travel,69.52,7,24.332,510.972,486.64,2/1/2019,15:10,Credit card,8.5
106-35-6779,A,Trichy,Member,Male,Home and lifestyle,44.34,2,4.434,93.114,88.68,3/27/2019,11:26,Cash,5.8
109-28-2512,B,karur,Member,Female,Fashion accessories,97.61,6,29.283,614.943,585.66,1/7/2019,15:01,Ewallet,9.9
109-86-4363,B,karur,Member,Female,Sports and travel,60.08,7,21.028,441.588,420.56,2/14/2019,11:36,Credit card,4.5
110-05-6330,C,Chennai,Normal,Female,Food and beverages,39.43,6,11.829,248.409,236.58,3/25/2019,20:18,Credit card,9.4
110-48-7033,B,karur,Member,Male,Fashion accessories,32.62,4,6.524,137.004,130.48,1/29/2019,14:12,Cash,9.0
114-35-5271,B,karur,Normal,Female,Electronic accessories,57.91,8,23.164,486.444,463.28,2/7/2019,15:06,Cash,8.1
115-38-7388,C,Chennai,Member,Female,Fashion accessories,10.18,8,4.072,85.512,81.44,3/30/2019,12:51,Credit card,9.5
115-99-4379,B,karur,Member,Female,Fashion accessories,54.73,7,19.1555,402.2655,383.11,3/14/2019,19:02,Credit card,8.5
118-62-1812,C,Chennai,Member,Female,Home and lifestyle,78.38,4,15.676,329.196,313.52,3/24/2019,17:56,Cash,7.9
120-06-4233,C,Chennai,Normal,Male,Electronic accessories,30.61,6,9.183,192.843,183.66,3/12/2019,20:36,Cash,9.3
120-54-2248,B,karur,Normal,Female,Food and beverages,28.86,5,7.215,151.515,144.3,1/22/2019,18:08,Credit card,8.0
122-61-9553,C,Chennai,Normal,Female,Electronic accessories,51.32,9,23.094,484.974,461.88,3/14/2019,19:33,Cash,5.6
123-19-1176,A,Trichy,Member,Male,Health and beauty,58.22,8,23.288,489.048,465.76,1/27/2019,20:33,Ewallet,8.4
123-35-4896,C,Chennai,Normal,Female,Sports and travel,46.66,9,20.997,440.937,419.94,2/17/2019,19:11,Ewallet,5.3
